Date,Value
10/4/2014,53237.31594
11/4/2014,48674.11743
12/4/2014,60538.43356
13/4/2014,60538.43356
14/4/2014,59321.58062
15/4/2014,45327.77186
16/4/2014,45327.77186
17/4/2014,54119.54337
18/4/2014,56547.98442
19/4/2014,56547.98442
20/4/2014,61404.86652
21/4/2014,53425.70307
22/4/2014,53425.70307
23/4/2014,50997.26202
24/4/2014,56894.90457
25/4/2014,56894.90457
26/4/2014,57935.66502
27/4/2014,57588.74487
28/4/2014,57588.74487
29/4/2014,58067.92463
30/4/2014,66817.88587
1/5/2014,66817.88587
2/5/2014,57272.47361
3/5/2014,60454.2777
4/5/2014,60454.27769
5/5/2014,73976.94507
6/5/2014,64829.25832
7/5/2014,64829.25832
8/5/2014,66022.43485
9/5/2014,70397.41547
10/5/2014,70397.41547
11/5/2014,69096.59676
12/5/2014,74817.97102
13/5/2014,74817.97102
14/5/2014,73057.54817
15/5/2014,80099.23956
16/5/2014,80099.23956
17/5/2014,67776.27963
18/5/2014,77898.711
19/5/2014,77898.711
20/5/2014,78338.81671
21/5/2014,73497.65388
22/5/2014,73497.65388
23/5/2014,87319.1201
24/5/2014,78483.25676
25/5/2014,78483.25676
26/5/2014,67048.61008
27/5/2014,91996.9301
28/5/2014,91996.9301
29/5/2014,84720.33676
30/5/2014,79003.01342
31/5/2014,79003.01342
1/6/2014,93036.44344
2/6/2014,97714.25344
3/6/2014,97714.25344
4/6/2014,75364.71675
5/6/2014,86494.36212
6/6/2014,86494.36212
7/6/2014,87663.20486
8/6/2014,79481.30574
9/6/2014,79481.30574
10/6/2014,85325.51939
11/6/2014,90585.31168
12/6/2014,90585.31168
13/6/2014,102858.1604
14/6/2014,108702.374
15/6/2014,108702.374
16/6/2014,104027.0031
17/6/2014,113768.8429
18/6/2014,113768.8429
19/6/2014,123807.2702
20/6/2014,126484.1841
21/6/2014,126484.1841
22/6/2014,105738.101
23/6/2014,132507.2405
24/6/2014,132507.2405
25/6/2014,114438.0713
26/6/2014,125145.7271
27/6/2014,125145.7271
28/6/2014,145472.7434
29/6/2014,104506.2812
30/6/2014,104506.2812
1/7/2014,116210.9847
2/7/2014,111194.6832
3/7/2014,111194.6832
4/7/2014,127079.6379
5/7/2014,124571.4872
6/7/2014,124571.4872
7/7/2014,135440.1404
8/7/2014,132931.9897
9/7/2014,132931.9897
10/7/2014,125407.5374
11/7/2014,137948.2912
12/7/2014,137948.2912
13/7/2014,124959.9838
14/7/2014,118927.4328
15/7/2014,118927.4328
16/7/2014,147366.6015
17/7/2014,137025.0856
18/7/2014,137025.0856
19/7/2014,146504.8085
20/7/2014,128407.1557
21/7/2014,128407.1557
22/7/2014,125821.7767
23/7/2014,128407.1557
24/7/2014,128407.1557
25/7/2014,130395.0986
26/7/2014,149954.3634
27/7/2014,149954.3634
28/7/2014,138777.6407
29/7/2014,162993.8733
30/7/2014,162993.8733
31/7/2014,142503.215
1/8/2014,157405.5119
2/8/2014,157405.5119
3/8/2014,125738.1308
4/8/2014,122943.9502
5/8/2014,122943.9502
6/8/2014,146228.7892
7/8/2014,157903.3291
8/8/2014,157903.3291
9/8/2014,175557.1175
10/8/2014,178499.4155
11/8/2014,178499.4155
12/8/2014,153980.265
13/8/2014,166730.2233
14/8/2014,166730.2233
15/8/2014,167710.9893
16/8/2014,161826.3932
17/8/2014,161826.3932
18/8/2014,202037.8
19/8/2014,187281.3463
20/8/2014,187281.3463
21/8/2014,190837.3213
22/8/2014,186096.0214
23/8/2014,186096.0214
24/8/2014,158833.5469
25/8/2014,196763.9462
26/8/2014,196763.9462
27/8/2014,214543.8208
28/8/2014,196763.9462
29/8/2014,196763.9462
30/8/2014,231138.3705
31/8/2014,204522.6957
1/9/2014,204522.6957
2/9/2014,216794.0574
3/9/2014,227701.9345
4/9/2014,227701.9345
5/9/2014,229065.4191
6/9/2014,223611.4806
7/9/2014,223611.4806
8/9/2014,179979.9722
9/9/2014,212703.6035
10/9/2014,212703.6035
11/9/2014,219521.0267
12/9/2014,241336.7809
13/9/2014,241336.7809
14/9/2014,219460.9233
15/9/2014,250600.6489
16/9/2014,250600.6489
17/9/2014,274326.1542
18/9/2014,240220.7404
19/9/2014,240220.7404
20/9/2014,259497.7134
21/9/2014,232806.52
22/9/2014,232806.52
23/9/2014,241703.5845
24/9/2014,241703.5845
25/9/2014,241703.5845
26/9/2014,220547.69
27/9/2014,239501.0072
28/9/2014,239501.0072
29/9/2014,261900.3819
30/9/2014,249839.1801
1/10/2014,249839.1801
2/10/2014,242947.0648
3/10/2014,246393.1225
4/10/2014,246393.1225
5/10/2014,275684.6125
6/10/2014,260177.3531
7/10/2014,260177.3531
8/10/2014,247077.5603
9/10/2014,276657.2683
10/10/2014,276657.2683
11/10/2014,257517.4572
12/10/2014,266217.3713
13/10/2014,266217.3713
14/10/2014,255777.4744
15/10/2014,260997.4229
16/10/2014,260997.4229
17/10/2014,294057.0964
18/10/2014,233157.6978
19/10/2014,233157.6978
20/10/2014,243597.5947
21/10/2014,297537.0621
22/10/2014,297537.0621
23/10/2014,291583.5085
24/10/2014,271906.0938
25/10/2014,271906.0938
26/10/2014,266539.5262
27/10/2014,268328.3821
28/10/2014,268328.3821
29/10/2014,309472.0673
30/10/2014,336304.9055
31/10/2014,336304.9055
1/11/2014,293372.3644
2/11/2014,277272.6615
3/11/2014,277272.6615
4/11/2014,314993.4284
5/11/2014,285462.7945
6/11/2014,285462.7945
7/11/2014,307118.5927
8/11/2014,273650.541
9/11/2014,273650.541
10/11/2014,277587.9588
11/11/2014,265775.7052
12/11/2014,265775.7052
13/11/2014,287431.5034
14/11/2014,295306.3392
15/11/2014,295306.3392
16/11/2014,299243.757
17/11/2014,295306.3392
18/11/2014,295306.3392
19/11/2014,274455.5762
20/11/2014,248412.3463
21/11/2014,248412.3463
22/11/2014,282468.8777
23/11/2014,310515.4329
24/11/2014,310515.4329
25/11/2014,286475.5284
26/11/2014,262435.624
27/11/2014,262435.624
28/11/2014,302502.1314
29/11/2014,312518.7583
30/11/2014,312518.7583
1/12/2014,284472.2031
2/12/2014,242402.3702
3/12/2014,242402.3702
4/12/2014,298317.3202
5/12/2014,288373.4095
6/12/2014,288373.4095
7/12/2014,298317.3202
8/12/2014,276440.7167
9/12/2014,276440.7167
10/12/2014,288373.4095
11/12/2014,282407.0631
12/12/2014,282407.0631
13/12/2014,262519.2417
14/12/2014,304283.6666
15/12/2014,304283.6666
16/12/2014,252575.3311
17/12/2014,272641.7557
18/12/2014,272641.7557
19/12/2014,276564.6586
20/12/2014,284410.4645
21/12/2014,284410.4645
22/12/2014,317755.1397
23/12/2014,296179.1734
24/12/2014,296179.1734
25/12/2014,282449.0131
26/12/2014,313832.2367
27/12/2014,313832.2367
28/12/2014,331485.3001
29/12/2014,286371.916
30/12/2014,286371.916
31/12/2014,335365.2901
1/1/2015,323243.6531
2/1/2015,323243.6531
3/1/2015,335365.2901
4/1/2015,339405.8358
5/1/2015,339405.8358
6/1/2015,299000.3791
7/1/2015,272736.8323
8/1/2015,272736.8323
9/1/2015,284858.4693
10/1/2015,296980.1063
11/1/2015,296980.1063
12/1/2015,229513.5336
13/1/2015,330062.3197
14/1/2015,330062.3197
15/1/2015,325690.6334
16/1/2015,299460.5152
17/1/2015,299460.5152
18/1/2015,338805.6924
19/1/2015,262301.1812
20/1/2015,262301.1812
21/1/2015,327876.4765
22/1/2015,271044.5539
23/1/2015,271044.5539
24/1/2015,275416.2403
25/1/2015,277602.0835
26/1/2015,277602.0835
27/1/2015,324166.339
28/1/2015,348786.5672
29/1/2015,348786.5672
30/1/2015,318011.2819
31/1/2015,348786.5672
1/2/2015,348786.5672
2/2/2015,276977.5681
3/2/2015,330321.396
4/2/2015,330321.396
5/2/2015,359044.9957
6/2/2015,352889.9386
7/2/2015,352889.9386
8/2/2015,342533.0607
9/2/2015,331483.6071
10/2/2015,331483.6071
11/2/2015,300545.1371
12/2/2015,309384.7
13/2/2015,309384.7
14/2/2015,296125.3557
15/2/2015,349162.7328
16/2/2015,349162.7328
17/2/2015,355792.405
18/2/2015,362422.0771
19/2/2015,362422.0771
20/2/2015,304964.9185
21/2/2015,333693.4978
22/2/2015,333693.4978
23/2/2015,320255.6249
24/2/2015,362028.0977
25/2/2015,362028.0977
26/2/2015,366669.4836
27/2/2015,313293.5461
28/2/2015,313293.5461
1/3/2015,348103.9401
2/3/2015,357386.7119
3/3/2015,357386.7119
4/3/2015,264558.9945
5/3/2015,366669.4836
6/3/2015,366669.4836
7/3/2015,362028.0977
8/3/2015,311208.0239
9/3/2015,311208.0239
10/3/2015,391367.6664
11/3/2015,313565.6604
12/3/2015,313565.6604
13/3/2015,315923.297
14/3/2015,346572.572
15/3/2015,346572.572
16/3/2015,337142.0259
17/3/2015,332426.7528
18/3/2015,332426.7528
19/3/2015,332426.7528
20/3/2015,337142.0259
21/3/2015,337142.0259
22/3/2015,358360.7548
23/3/2015,387831.1122
24/3/2015,387831.1122
25/3/2015,346028.9564
26/3/2015,399442.8222
27/3/2015,399442.8222
28/3/2015,350673.6404
29/3/2015,329772.5625
30/3/2015,329772.5625
31/3/2015,329772.5625
1/4/2015,341384.2724
2/4/2015,341384.2724
3/4/2015,357640.6663
4/4/2015,371157.0054
5/4/2015,371157.0054
6/4/2015,390820.9527
7/4/2015,292501.2162
8/4/2015,292501.2162
9/4/2015,349035.0647
10/4/2015,336745.0976
11/4/2015,336745.0976
12/4/2015,346577.0713
13/4/2015,388362.9593
14/4/2015,388362.9593
15/4/2015,339203.091
16/4/2015,329371.1174
17/4/2015,329371.1174
18/4/2015,334287.1042
19/4/2015,408026.9066
20/4/2015,408026.9066
21/4/2015,338442.9619
22/4/2015,326609.2919
23/4/2015,326609.2919
24/4/2015,364477.0359
25/4/2015,352643.3659
26/4/2015,352643.3659
27/4/2015,371577.2379
28/4/2015,305308.6859
29/4/2015,305308.6859
30/4/2015,347909.8979
1/5/2015,347909.8979
2/5/2015,347909.8979
3/5/2015,312624.3333
4/5/2015,364728.3889
5/5/2015,364728.3889
6/5/2015,381306.952
7/5/2015,350518.1919
8/5/2015,350518.1919
9/5/2015,305519.2348
10/5/2015,352886.5581
11/5/2015,352886.5581
12/5/2015,383675.3182
13/5/2015,331571.2626
14/5/2015,331571.2626
15/5/2015,303150.8687
16/5/2015,419738.3697
