,price(USD)
1841,9.048340131465428
908,5.647670571856033
1964,8.785184670295827
39,4.681112189563248
756,5.468355456175141
1735,9.33315959362103
1400,7.073303615190261
1865,8.940173344979003
905,5.611849917589927
782,5.4970452669144585
963,6.136062602700595
1829,9.179417139322672
1729,9.29682994618375
1028,6.082812341567258
434,6.438103587798936
400,6.463138655326482
871,5.45043741460887
539,5.956148201980414
1716,9.613683229703248
982,6.1258643125876375
1004,5.937166743700133
1337,6.840364694575939
806,5.656131661180195
138,4.874128049441593
1339,6.879900923345851
91,4.681668156960816
727,5.433590990605606
1231,6.410224222854149
175,5.264553736395228
1055,6.02446402537109
1680,9.38625813484693
1454,7.098069806705016
329,6.369010175218013
232,6.252019483420338
728,5.418719192400332
551,5.785577492291319
1343,6.92912530471833
1845,9.017603564270477
174,5.207571753241291
844,5.4397301194983605
1307,6.596436036764202
1157,6.511031850810728
743,5.4647212398696166
1917,9.009594118104012
487,6.220391343177919
1116,6.093502047661733
356,6.2054664405049085
969,6.12196635517214
1344,6.951197836824974
112,4.79752457848242
835,5.57644140618771
602,5.812307976457184
733,5.482137799465727
1039,6.018057791377503
836,5.581727828648895
359,6.214788082224136
1271,6.488627256904789
164,4.874433672915854
485,6.231307877644605
1669,9.016963125645178
711,5.466117326822971
821,5.661918270557503
807,5.627944802305019
683,5.63984821536011
1596,8.32651198995676
680,5.690798547097907
710,5.463916547197603
221,6.547230075153819
1689,9.717236284531324
1617,8.370864837270108
1855,8.91861413289532
448,6.431524299980645
1797,8.831253284628069
722,5.455534767746079
1409,7.081170626305095
1901,8.743962162945486
796,5.602524642581974
527,5.899047677641612
102,4.634728988229636
1328,6.672905981975281
1862,8.939314806499464
1442,7.094077157143985
1743,8.956156258656456
1199,6.378086567414666
1269,6.447036412613682
1085,6.076081392827861
912,5.749201884847061
65,4.3819016268607305
1550,7.939878701381031
463,6.371013377586327
438,6.452395897400129
1888,8.760982935693669
1358,6.8127520520629545
155,4.740138046398576
432,6.454349146083633
1071,6.05039361463727
603,5.77545176134656
561,6.057416131900685
394,6.342438269926957
1181,6.494147105931505
888,5.482137799465727
1240,6.392386015166274
620,5.615351909276774
652,5.390030174471236
1381,6.903375702622826
340,6.138590611998276
1108,6.119967694268071
1706,9.554794950481748
1360,6.80035935996224
488,6.169171305413585
375,6.117920971060541
100,4.635408369048701
472,6.210258653284353
328,6.371663127968259
1142,6.546096507811182
1352,6.653095260450135
1607,8.241742674228352
1437,7.07237100865716
1166,6.477895014039251
409,6.398178874616578
1848,8.9918211121261
346,6.042371516881787
134,4.909340575944674
252,6.6795866229514
1128,6.28510384003389
261,6.726820759806603
540,5.947930545084254
1215,6.3453380707304925
579,5.935555352668465
1380,6.97044834832056
245,6.626678013360227
251,6.852760405353206
1584,8.455692185687582
286,6.527226656164005
1642,8.657727009731545
479,6.24103579025747
1555,7.904541539068055
1209,6.365284177380601
482,6.21967523875521
682,5.650522335015317
327,6.33240891169833
798,5.583421117985017
1062,6.055729593354704
303,6.362510728345687
965,6.080939553535584
1976,8.806686123271982
1144,6.618418504933128
1351,6.811365516638235
1239,6.402895159493367
817,5.678943184642556
976,6.07447208609159
900,5.601786662400147
990,5.900089116016819
932,5.813174851427398
1653,8.91554371746566
382,6.106354512981937
648,5.427985054670073
90,4.619960271460727
370,6.071568791349644
681,5.683987847328021
1870,8.755067707330442
1801,8.827022199947331
1671,9.143422489067795
204,6.387417894843551
1552,7.924159183257529
163,4.873287102945032
734,5.475835739835971
1164,6.462545720594343
1899,8.737938669650276
1839,9.072582919268603
2006,8.77688619894394
493,6.180720339754835
1523,7.7982768189623295
1096,6.105864087416478
1568,8.342920753375944
495,6.177549845465586
1784,9.06180207986228
1858,8.927542353093683
1753,9.23087802319373
222,6.676831540348965
240,6.637624936443591
89,4.591071261608589
1625,8.482514786343941
322,6.419832048433451
730,5.463577535413696
