,averageDifficulty,cumulative total number of coins,activeAddresses,Daily Hash Rate(Trillions of hashes/s)
794,24.6232570483854,14251489.8,277347,12.849627872548478
865,24.76557381905115,14609839.8,322602,12.89016194884923
1478,27.051202620675607,16337777.3,742312,15.189923407145605
1267,26.280093898645948,15989077.3,459988,14.297477138660154
1973,29.598133472634466,17297783.54,648244,17.911346127915035
1648,28.00258467236103,16715739.8,800319,16.05502138303858
1079,25.88232113616094,15433289.8,470246,14.197744042883784
317,22.17023609386232,12514514.8,192303,10.287655734138951
1444,26.979015878699776,16273739.8,703291,15.09606836801166
1073,25.841259649363167,15409189.8,440786,13.972075709749625
970,25.26067814705501,15013964.8,406454,13.71662341287048
585,24.41233203039847,13584764.8,257437,12.60591303184105
116,18.001371143850626,11605639.8,68611,6.147161481296142
1295,26.26452938210484,15966377.3,616360,14.593478994114554
108,17.743610416446685,11568064.8,61411,6.209759852448079
1353,26.54334876729877,16100364.8,591030,14.743277331450312
263,21.305228324763863,12284639.8,108829,9.703109789776114
480,23.894826550857093,13183314.8,206396,11.975612058003392
1211,26.10316319048687,15833989.8,513945,14.318275658824655
1145,26.001380496176928,15624439.8,514944,14.360789274359268
188,19.837281849137508,11953814.8,117722,8.102780116894776
592,24.41233203039847,13610364.8,282482,12.625715659124085
1488,27.11350650401176,16357689.8,856639,15.402266664899678
1035,25.817016037753174,15324439.8,564999,13.85500375706681
1684,28.09475513216069,16732902.3,1077265,16.37813121302493
1551,27.480198226193966,16479014.8,568497,15.653834608334163
892,24.831073102910143,14708564.8,323737,13.024654104195433
1636,27.813342672722506,16642314.8,877356,16.135275603813266
1666,27.93850581567651,16695139.8,870876,15.936882133741715
93,17.257752652703065,11497189.8,74758,5.807319337770089
21,16.23028596177717,11185464.8,74758,4.4946360341246825
1897,29.30998509101126,17168471.05,616214,17.398891621360498
1773,28.82190868070583,16909877.3,881628,16.98864518384115
1495,27.16580600341461,16372227.3,734744,15.50788367544203
684,24.5824692248219,14001189.8,262370,12.728259562392592
139,18.53960578238639,11713939.8,73046,6.739831326156974
1350,26.488456939731257,16094427.3,701527,14.801171306730444
1841,29.05171690376577,17037764.8,604422,17.422984808002862
908,24.832233384925196,14767714.8,375812,13.039059613044005
1964,29.579784333966263,17280871.04,470139,17.697089898054973
39,16.563142476280728,11266239.8,56600,4.939045034458176
756,24.61114956518841,14207739.8,260548,12.676897194916249
1735,28.586532560955984,16836064.8,838824,16.88865495747441
1400,26.812310712393256,16191639.8,681438,14.964570506872144
1865,29.22838644712838,17084621.05,492526,17.374319463817173
905,24.832233384925196,14756114.8,370420,13.052131694478676
782,24.62911756626158,14354514.8,266005,12.80927554725464
963,25.26067814705501,14985664.8,474385,13.57352256919584
1829,29.02230301855948,17015289.8,695603,17.133014517585973
1729,28.43302270140057,16824277.3,944583,16.785486753148565
1028,25.817016037753174,15300239.8,546376,13.908248270902048
434,23.54574301114768,13000014.8,184681,11.79759292077791
400,23.08261792736477,12860614.8,183219,11.367834512992337
871,24.80647110755387,14631589.8,271138,12.872218737311494
539,24.278684810950043,13413314.8,202427,12.60329407469596
