,price(USD),averageDifficulty,cumulative total number of coins,activeAddresses,Daily Hash Rate(Trillions of hashes/s)
1655,6618.61,1.36E+12,16675002.3,578308,5426063.163
1656,6295.45,1.36E+12,16676002.3,598625,5426063.163
1657,5938.25,1.36E+12,16677752.3,917287,9495610.536
1658,6561.48,1.36E+12,16679352.3,817534,8681701.061
1659,6634.76,1.36E+12,16681252.3,951196,10309520.01
1660,7323.24,1.36E+12,16683152.3,903497,10309520.01
1661,7853.57,1.36E+12,16685239.8,980129,11326906.85
1662,7697.21,1.36E+12,16686939.8,849503,9224307.378
1663,7766.03,1.36E+12,16688939.8,908966,10852126.33
1664,8039.07,1.36E+12,16691127.3,989857,11869513.17
1665,8205.74,1.36E+12,16693289.8,979924,11733861.59
1666,8077.95,1.36E+12,16695139.8,870876,8342572.114
1667,8232.38,1.36E+12,16697102.3,956721,10648648.96
1668,8074.02,1.36E+12,16674002.3,907143,9977010.841
1669,8241.71,1.35E+12,16650914.8,931680,10445729.47
1670,8789.04,1.35E+12,16652827.3,936230,10244850.06
1671,9352.72,1.35E+12,16654952.3,1057287,11383166.73
1672,9823.43,1.35E+12,16656902.3,1025731,10445729.47
1673,10077.4,1.35E+12,16659064.8,1131747,11584046.14
1674,9906.79,1.35E+12,16661152.3,1084885,11182287.32
1675,10198.6,1.35E+12,16663439.8,1116245,12253644.19
1676,10978.3,1.35E+12,16665452.3,942700,10780528.49
1677,11082.7,1.35E+12,16667652.3,1016509,11784925.56
1678,11315.4,1.35E+12,16669914.8,1145180,12119724.58
1679,11685.7,1.35E+12,16672139.8,1145916,11918845.17
1680,11923.4,1.41E+12,16699452.3,1230813,14867776.06
1681,14266.1,1.59E+12,16726727.3,1068971,11941671.2
1682,17802.9,1.59E+12,16728677.3,1125005,12337090.77
1683,16523.3,1.59E+12,16730852.3,1187736,13760601.25
1684,15168.4,1.59E+12,16732902.3,1077265,12969762.09
1685,15427.4,1.59E+12,16735039.8,1153418,13523349.5
1686,16919.8,1.59E+12,16736989.8,1096932,12337090.77
1687,17500,1.59E+12,16739314.8,1261348,14709608.23
1688,16384.6,1.59E+12,16741627.3,1283929,14630524.31
1689,16601.3,1.59E+12,16743739.8,1179829,13365181.67
1690,17760.3,1.59E+12,16745877.3,1136363,13523349.5
1691,19475.8,1.59E+12,16748189.8,1176110,14630524.31
1692,19106.4,1.72E+12,16750464.8,1197857,16946489.24
1693,19118.3,1.87E+12,16752214.8,1048091,13035760.95
1694,17760.3,1.87E+12,16753914.8,1025885,12663310.64
1695,16642.4,1.87E+12,16755564.8,1002360,12290860.32
1696,15898,1.87E+12,16757502.3,1112381,14432449.62
1697,13948.7,1.87E+12,16759239.8,980574,12942648.37
1698,14608.2,1.87E+12,16761139.8,1023773,14153111.89
1699,13995.9,1.87E+12,16762827.3,879901,12570198.06
1700,14036.6,1.87E+12,16764602.3,912401,13221986.11
1701,16163.5,1.87E+12,16766552.3,1032417,14525562.2
1702,15864.1,1.87E+12,16768414.8,1003665,13873774.15
1703,14695.8,1.87E+12,16770477.3,1094029,15363575.41
1704,14681.9,1.87E+12,16772302.3,1009195,13687549
1705,12897.7,1.87E+12,16774339.8,1007352,15177350.25
1706,14112.2,1.92E+12,16776289.8,966713,14975580.96
1707,13625,1.93E+12,16778427.3,1142472,16415540.67
1708,14978.2,1.93E+12,16780389.8,1132612,15071578.27
1709,15270.7,1.93E+12,16782489.8,1253400,16127548.73
1710,15477.2,1.93E+12,16784277.3,1068678,13727615.88
1711,17462.1,1.93E+12,16786377.3,1171166,16127548.73
1712,17527.3,1.93E+12,16788402.3,1127779,15551564.84
1713,16476.2,1.93E+12,16790477.3,1158259,15935554.1
1714,15123.7,1.93E+12,16792527.3,1150333,15743559.47
1715,14588.5,1.93E+12,16794602.3,1125371,15935554.1
1716,14968.2,1.93E+12,16797014.8,1223977,18527481.57
1717,13453.9,1.93E+12,16799239.8,1152568,17087521.86
1718,13952.4,2.13E+12,16801102.3,943080,16501289.11
1719,14370.8,2.23E+12,16803039.8,967584,17165770.55
1720,13767.3,2.23E+12,16804914.8,953007,16612036.02
1721,13836.1,2.23E+12,16806902.3,999065,17608758.18
1722,11431.1,2.23E+12,16808989.8,1090522,18494733.44
1723,11198.8,2.23E+12,16811152.3,1053533,19159214.88
1724,11429.8,2.23E+12,16813214.8,1027758,18273239.62
1725,11656.2,2.23E+12,16815439.8,973534,19712949.41
1726,12889.2,2.23E+12,16817777.3,985152,20709671.57
1727,11633.1,2.23E+12,16819864.8,944996,18494733.44
1728,10944.5,2.23E+12,16822077.3,900248,19602202.5
1729,10903.4,2.23E+12,16824277.3,944583,19491455.6
1730,11421.7,2.46E+12,16826252.3,841506,20445148.56
1731,11256,2.6E+12,16828189.8,807963,20056949.54
1732,11174.9,2.6E+12,16830152.3,870592,20315748.89
1733,11475.3,2.6E+12,16832127.3,768043,20445148.56
1734,11755.5,2.6E+12,16833977.3,778150,19151151.82
1735,11306.8,2.6E+12,16836064.8,838824,21609745.63
1736,10108.2,2.6E+12,16837527.3,676289,15139761.91
1737,10237.3,2.6E+12,16839527.3,842407,20703947.91
1738,9142.28,2.6E+12,16841627.3,854261,21739145.31
1739,8852.12,2.6E+12,16843602.3,714666,20445148.56
1740,9175.7,2.6E+12,16845827.3,720912,23033142.05
1741,8270.54,2.6E+12,16848139.8,903367,23938939.78
1742,7051.75,2.61E+12,16850264.8,999121,24293141.32
1743,7755.49,2.87E+12,16852027.3,814508,20149017.21
1744,7637.86,2.87E+12,16853664.8,746349,18720008.9
1745,8271.84,2.87E+12,16855352.3,775358,19291612.22
1746,8720.08,2.87E+12,16857139.8,741906,20434818.87
1747,8616.13,2.87E+12,16859027.3,818420,21578025.52
1748,8141.43,2.87E+12,16861102.3,914744,23721537.99
1749,8926.72,2.87E+12,16863152.3,852830,23435736.33
1750,8599.92,2.87E+12,16865389.8,937586,25579248.8
1751,9488.32,2.87E+12,16867027.3,788520,18720008.9
1752,10135.7,2.87E+12,16868989.8,773228,22435430.51
1753,10207.5,2.87E+12,16870852.3,770450,21292223.86
1754,11123.4,2.87E+12,16872877.3,730175,23149934.67
1755,10552.6,2.87E+12,16874902.3,849889,23149934.67
1756,11231.8,2.97E+12,16876664.8,714645,21079198.67
1757,11372.2,3.01E+12,16878777.3,705387,25265138.83
1758,10660.4,3.01E+12,16880639.8,713590,22275181.57
1759,9937.07,3.01E+12,16882489.8,739570,22125683.71
1760,10287.7,3.01E+12,16884302.3,704058,21677190.12
1761,9796.42,3.01E+12,16886439.8,528654,25564134.55
1762,9669.43,3.01E+12,16888202.3,669623,21079198.67
1763,10393.9,3.01E+12,16890202.3,713403,23919658.06
1764,10687.2,3.01E+12,16892139.8,806237,23172168.75
1765,10385,3.01E+12,16894202.3,819981,24667147.38
1766,10977.4,3.01E+12,16896152.3,749023,23321666.61
1767,11101.9,3.01E+12,16898402.3,930026,26909615.32
1768,11497.4,3.01E+12,16900252.3,802172,22125683.71
1769,11532.4,3.23E+12,16902114.8,850566,24372959.73
1770,11500.1,3.29E+12,16904064.8,836894,25517998.11
1771,10803.9,3.29E+12,16906027.3,917555,25681575.02
1772,9951.44,3.29E+12,16908052.3,915698,26499459.57
1773,9414.69,3.29E+12,16909877.3,881628,23882229
1774,9350.59,3.29E+12,16911627.3,810973,22900767.53
1775,8852.78,3.29E+12,16913539.8,884564,25027267.37
1776,9602.93,3.29E+12,16915552.3,844775,26335882.66
1777,9173.04,3.29E+12,16917527.3,764106,25845151.93
1778,9214.65,3.29E+12,16919327.3,574892,23555075.18
1779,8290.76,3.29E+12,16921127.3,617139,23555075.18
1780,8322.91,3.29E+12,16923077.3,593940,25517998.11
1781,8321.91,3.29E+12,16924939.8,460743,24372959.73
1782,7890.52,3.38E+12,16926827.3,534906,25990711.3
1783,8344.12,3.46E+12,16928764.8,582460,26679206.96
1784,8619.67,3.46E+12,16930352.3,568469,21859737.32
1785,8937.48,3.46E+12,16932252.3,573438,26162835.21
1786,8939.44,3.46E+12,16934039.8,595119,24613719.97
1787,8736.25,3.46E+12,16935702.3,624356,22892480.81
1788,8901.95,3.46E+12,16937652.3,538133,26851330.88
1789,8612.81,3.46E+12,16939339.8,442843,23236728.64
1790,8498.47,3.46E+12,16941214.8,584461,25818587.38
1791,8200,3.46E+12,16943114.8,602500,26162835.21
1792,7836.83,3.46E+12,16944802.3,543737,23236728.64
