,price(USD),averageDifficulty,Daily Hash Rate(Trillions of hashes/s),cumulative total number of coins,activeAddresses
28,4.859812404361672,16.313120487511075,4.625964909229596,11214789.8,80522
29,4.8846940707384086,16.313120487511075,4.625964909229596,11219264.8,78185
30,4.858260813670253,16.313120487511075,4.78433322574799,11223639.8,75446
31,4.858416081118745,16.313120487511075,4.814186188578035,11228964.8,67761
32,4.8621352857778115,16.313120487511075,4.814186188578035,11233939.8,65817
33,4.808111029984782,16.313120487511075,4.843173725149917,11239264.8,79845
34,4.79363947336828,16.313120487511075,5.054355881075528,11244589.8,78619
35,4.799090878625398,16.41573473542907,5.054355881075528,11249189.8,78652
36,4.803201036487226,16.563142476280728,4.827492548218822,11253714.8,73256
37,4.778871360488434,16.563142476280728,4.870052162971225,11257739.8,73768
38,4.709530201312334,16.563142476280728,4.870052162971225,11262264.8,58257
39,4.681112189563248,16.563142476280728,4.939045034458176,11266239.8,56600
40,4.609560534289384,16.563142476280728,4.916572178850258,11270589.8,60963
41,4.666735541646246,16.563142476280728,4.916572178850258,11275089.8,66609
42,4.6913478822291435,16.563142476280728,5.008778372417193,11280164.8,63763
43,4.689327493994814,16.563142476280728,4.893582660131601,11284814.8,66341
44,4.643910014304022,16.563142476280728,4.893582660131601,11289314.8,75762
45,4.605170185988092,16.563142476280728,4.977196800709776,11293639.8,53810
46,4.603168183317418,16.584889296213635,4.997546004556285,11298264.8,48785
47,4.604169685654508,16.777647695134004,4.997546004556285,11301889.8,56902
48,4.624482497020464,16.777647695134004,4.788907139801595,11305389.8,63562
49,4.6732960150356915,16.777647695134004,4.944200024156333,11308789.8,69145
50,4.684443366882599,16.777647695134004,4.944200024156333,11312639.8,67644
51,4.712139406985334,16.777647695134004,5.108087879128899,11316839.8,69098
52,4.695924549256556,16.777647695134004,5.131077397518533,11321239.8,58577
53,4.6839813664123815,16.777647695134004,5.131077397518533,11325364.8,52055
54,4.681204872264089,16.777647695134004,4.95780567630839,11329114.8,64862
55,4.625854777180924,16.777647695134004,5.202340417752665,11333039.8,61381
56,4.637927750226264,16.777647695134004,5.202340417752665,11337389.8,64996
57,4.6443908991413725,16.777647695134004,5.084557382165078,11341564.8,61024
58,4.622420539394619,16.777647695134004,5.140224972529152,11345789.8,68612
59,4.5502915244781015,16.820095741118013,5.140224972529152,11350014.8,60980
60,4.553876891600541,16.875874900311366,5.089258528948608,11353839.8,50485
61,4.579954936847027,16.875874900311366,5.115066413198871,11357764.8,68676
62,4.4779048349422155,16.875874900311366,5.115066413198871,11361589.8,64157
63,4.504244267398131,16.875874900311366,5.194619044791311,11366189.8,66024
64,4.368054477106998,16.875874900311366,5.234970340098666,11370314.8,60868
65,4.3819016268607305,16.875874900311366,5.234970340098666,11374964.8,60509
66,4.22683374526818,16.875874900311366,5.2899292247469,11379639.8,56535
67,4.230476736546681,16.875874900311366,5.284567281418468,11384289.8,48847
68,4.33729074083249,16.875874900311366,5.284567281418468,11389089.8,63045
69,4.330733340286331,16.875874900311366,5.2004841644480475,11393714.8,67986
70,4.340162430575183,16.875874900311366,5.520293084610372,11398589.8,64858
71,4.477336814478207,17.07772884527911,5.520293084610372,11402939.8,73357
72,4.488411625377895,17.07985200511729,5.280077549357733,11406789.8,78450
73,4.54318839363221,17.07985200511729,5.35654791308716,11410714.8,63116
74,4.592084946439436,17.07985200511729,5.35654791308716,11415014.8,48402
75,4.539137215383653,17.07985200511729,5.362664140084462,11419114.8,62325
76,4.5940081212819,17.07985200511729,5.392696427541209,11423214.8,66221
77,4.571716809728872,17.07985200511729,5.392696427541209,11427814.8,63007
78,4.590056548178043,17.07985200511729,5.392696427541209,11431839.8,63178
79,4.5005871457956514,17.07985200511729,5.493906329122371,11436114.8,58759
80,4.5217885770490405,17.07985200511729,5.493906329122371,11440764.8,52399
81,4.4978076676595915,17.07985200511729,5.6336552107036315,11445739.8,51123
82,4.5217885770490405,17.11805424179008,5.417432102209337,11449864.8,60318
83,4.517431271680085,17.257752652703065,5.417432102209337,11453389.8,64299
84,4.559754322457609,17.257752652703065,5.360679285448418,11457364.8,65888
85,4.548599834499697,17.257752652703065,5.622481910073367,11461014.8,66440
86,4.574195381688661,17.257752652703065,5.622481910073367,11465114.8,62558
87,4.564556503102795,17.257752652703065,5.6168480925205735,11469639.8,52438
88,4.547541073151455,17.257752652703065,5.55268614831643,11473839.8,49179
